,power,speed
2018-05-18 14:17:20,109.0,273.024
2018-05-18 14:17:21,122.0,274.968
2018-05-18 14:17:22,136.0,280.98
2018-05-18 14:17:23,151.0,280.98
2018-05-18 14:17:24,167.0,285.12
2018-05-18 14:17:25,174.0,284.076
2018-05-18 14:17:26,176.0,283.032
2018-05-18 14:17:27,173.0,279.936
2018-05-18 14:17:28,173.0,285.12
2018-05-18 14:17:29,171.0,284.076
2018-05-18 14:17:30,182.0,289.404
2018-05-18 14:17:31,191.0,293.796
2018-05-18 14:17:32,183.0,299.48400000000004
2018-05-18 14:17:33,182.0,298.908
2018-05-18 14:17:34,181.0,300.636
2018-05-18 14:17:35,176.0,307.836
2018-05-18 14:17:36,177.0,306.61199999999997
2018-05-18 14:17:37,185.0,301.824
2018-05-18 14:17:38,185.0,301.824
2018-05-18 14:17:39,185.0,304.2
2018-05-18 14:17:40,173.0,304.2
2018-05-18 14:17:41,160.0,304.2
2018-05-18 14:17:42,142.0,304.2
2018-05-18 14:17:43,145.0,309.06000000000006
2018-05-18 14:17:44,158.0,315.36
2018-05-18 14:17:45,164.0,320.61600000000004
2018-05-18 14:17:46,194.0,324.648
2018-05-18 14:17:47,206.0,321.948
2018-05-18 14:17:48,205.0,320.61600000000004
2018-05-18 14:17:49,211.0,316.65599999999995
2018-05-18 14:17:50,194.0,312.804
2018-05-18 14:17:51,179.0,311.544
2018-05-18 14:17:52,162.0,311.544
2018-05-18 14:17:53,162.0,311.544
2018-05-18 14:17:54,162.0,311.544
2018-05-18 14:17:55,159.0,311.544
2018-05-18 14:17:56,168.0,319.284
2018-05-18 14:17:57,195.0,317.988
2018-05-18 14:17:58,204.0,321.948
2018-05-18 14:17:59,206.0,324.648
2018-05-18 14:18:00,209.0,320.61600000000004
2018-05-18 14:18:01,175.0,314.09999999999997
2018-05-18 14:18:02,161.0,312.804
2018-05-18 14:18:03,145.0,310.32
2018-05-18 14:18:04,134.0,311.544
2018-05-18 14:18:05,117.0,306.61199999999997
2018-05-18 14:18:06,119.0,311.544
2018-05-18 14:18:07,117.0,314.09999999999997
2018-05-18 14:18:08,120.0,315.36
2018-05-18 14:18:09,143.0,315.36
2018-05-18 14:18:10,159.0,315.36
2018-05-18 14:18:11,173.0,310.32
2018-05-18 14:18:12,180.0,310.32
2018-05-18 14:18:13,189.0,309.06000000000006
2018-05-18 14:18:14,173.0,309.06000000000006
2018-05-18 14:18:15,168.0,309.06000000000006
2018-05-18 14:18:16,172.0,312.804
2018-05-18 14:18:17,175.0,312.804
