,speed,power,crop
2018-05-18 12:43:34,5.663,0.0,0.0
2018-05-18 12:43:35,5.589,0.0,0.0
2018-05-18 12:43:36,5.503,0.0,0.0
2018-05-18 12:43:37,5.366,0.0,0.0
2018-05-18 12:43:38,5.379,0.0,0.0
2018-05-18 12:43:39,5.261,0.0,0.0
2018-05-18 12:43:40,5.197,0.0,0.0
2018-05-18 12:43:41,5.05,0.0,0.0
2018-05-18 12:43:42,4.991,0.0,0.0
2018-05-18 12:43:43,4.856,0.0,0.0
2018-05-18 12:43:44,4.791,0.0,0.0
2018-05-18 12:43:45,4.738,0.0,0.0
2018-05-18 12:43:46,4.616,0.0,0.0
2018-05-18 12:43:47,4.576,0.0,0.0
2018-05-18 12:43:48,4.435,0.0,0.0
2018-05-18 12:43:49,4.398,0.0,0.0
2018-05-18 12:43:50,4.276,0.0,0.0
2018-05-18 12:43:51,4.259,0.0,0.0
2018-05-18 12:43:52,4.104,0.0,0.0
2018-05-18 12:43:53,3.881,0.0,0.0
2018-05-18 12:43:54,3.199,0.0,0.0
2018-05-18 12:43:55,2.696,0.0,0.0
2018-05-18 12:43:56,2.696,0.0,0.0
2018-05-18 12:43:57,2.113,0.0,0.0
2018-05-18 12:43:58,2.113,0.0,0.0
2018-05-18 12:43:59,0.0,0.0,0.0
